Forked 28623
Starting to reopen 0 and 1
Calling execv `tournament0/lounres.py` (pid 28623)
Strategy 0: first ans is 1
Forked 28624
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 28624)
Strategy 1: first ans is 0
Forked 28625
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 28625)
28625: Started!
28625: Number of players: 6, position: 2, number of turns: 1000
28625: Random seed: 74457592
Strategy 2: first ans is 0
Forked 28626
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 28626)
Strategy 3: first ans is 1
Forked 28650
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 28650)
Strategy 4: first ans is 0
Forked 28674
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 28674)
Strategy 5: first ans is 0
28625: 2.571429e+00 1.535714e+00 1.321429e+00 3.214286e-01 2.500000e-01 0.000000e+00
28625: 2.551724e+00 1.517241e+00 1.344828e+00 3.103448e-01 2.758621e-01 0.000000e+00
28625: 2.533333e+00 1.600000e+00 1.300000e+00 3.000000e-01 2.666667e-01 0.000000e+00
28625: 2.548387e+00 1.548387e+00 1.354839e+00 2.903226e-01 2.580645e-01 0.000000e+00
28625: 2.531250e+00 1.625000e+00 1.312500e+00 2.812500e-01 2.500000e-01 0.000000e+00
28625: 2.545455e+00 1.575758e+00 1.333333e+00 2.727273e-01 2.727273e-01 0.000000e+00
28625: 2.529412e+00 1.558824e+00 1.352941e+00 2.647059e-01 2.647059e-01 2.941176e-02
28625: 2.514286e+00 1.600000e+00 1.342857e+00 2.571429e-01 2.571429e-01 2.857143e-02
28625: 2.527778e+00 1.555556e+00 1.361111e+00 2.500000e-01 2.777778e-01 2.777778e-02
28625: 2.513514e+00 1.594595e+00 1.324324e+00 2.432432e-01 2.972973e-01 2.702703e-02
28625: 2.500000e+00 1.552632e+00 1.394737e+00 2.368421e-01 2.894737e-01 2.631579e-02
28625: 2.512821e+00 1.589744e+00 1.358974e+00 2.307692e-01 2.820513e-01 2.564103e-02
28625: 2.500000e+00 1.575000e+00 1.400000e+00 2.250000e-01 2.750000e-01 2.500000e-02
28625: 2.463415e+00 1.585366e+00 1.414634e+00 2.195122e-01 2.682927e-01 4.878049e-02
28625: 2.452381e+00 1.547619e+00 1.452381e+00 2.380952e-01 2.619048e-01 4.761905e-02
28625: 2.441860e+00 1.581395e+00 1.418605e+00 2.325581e-01 2.790698e-01 4.651163e-02
28625: 2.409091e+00 1.590909e+00 1.431818e+00 2.500000e-01 2.727273e-01 4.545455e-02
28625: 2.400000e+00 1.577778e+00 1.444444e+00 2.444444e-01 2.888889e-01 4.444444e-02
28625: 2.369565e+00 1.586957e+00 1.478261e+00 2.391304e-01 2.826087e-01 4.347826e-02
28625: 2.361702e+00 1.574468e+00 1.510638e+00 2.340426e-01 2.765957e-01 4.255319e-02
28625: 2.354167e+00 1.562500e+00 1.541667e+00 2.291667e-01 2.708333e-01 4.166667e-02
28625: 2.326531e+00 1.591837e+00 1.530612e+00 2.244898e-01 2.857143e-01 4.081633e-02
28625: 2.320000e+00 1.600000e+00 1.520000e+00 2.200000e-01 3.000000e-01 4.000000e-02
28625: 2.294118e+00 1.607843e+00 1.549020e+00 2.156863e-01 2.941176e-01 3.921569e-02
28625: 2.307692e+00 1.576923e+00 1.557692e+00 2.307692e-01 2.884615e-01 3.846154e-02
28625: 2.283019e+00 1.603774e+00 1.547170e+00 2.264151e-01 3.018868e-01 3.773585e-02
28625: 2.296296e+00 1.592593e+00 1.537037e+00 2.222222e-01 3.148148e-01 3.703704e-02
28625: 2.290909e+00 1.600000e+00 1.545455e+00 2.181818e-01 3.090909e-01 3.636364e-02
28625: 2.267857e+00 1.607143e+00 1.535714e+00 2.500000e-01 3.035714e-01 3.571429e-02
28625: 2.263158e+00 1.614035e+00 1.543860e+00 2.456140e-01 2.982456e-01 3.508772e-02
28625: 2.258621e+00 1.603448e+00 1.551724e+00 2.586207e-01 2.931034e-01 3.448276e-02
28625: 2.237288e+00 1.610169e+00 1.576271e+00 2.542373e-01 2.881356e-01 3.389831e-02
28625: 2.266667e+00 1.583333e+00 1.566667e+00 2.666667e-01 2.833333e-01 3.333333e-02
28625: 2.245902e+00 1.573770e+00 1.590164e+00 2.786885e-01 2.786885e-01 3.278689e-02
28625: 2.241935e+00 1.564516e+00 1.580645e+00 3.064516e-01 2.741935e-01 3.225806e-02
28625: 2.222222e+00 1.603175e+00 1.555556e+00 3.015873e-01 2.857143e-01 3.174603e-02
28625: 2.218750e+00 1.609375e+00 1.562500e+00 2.968750e-01 2.812500e-01 3.125000e-02
28625: 2.215385e+00 1.584615e+00 1.584615e+00 3.076923e-01 2.769231e-01 3.076923e-02
28625: 2.227273e+00 1.590909e+00 1.560606e+00 3.181818e-01 2.727273e-01 3.030303e-02
28625: 2.223881e+00 1.597015e+00 1.567164e+00 3.134328e-01 2.686567e-01 2.985075e-02
28625: 2.205882e+00 1.588235e+00 1.588235e+00 3.235294e-01 2.647059e-01 2.941176e-02
28625: 2.217391e+00 1.579710e+00 1.579710e+00 3.333333e-01 2.608696e-01 2.898551e-02
28625: 2.200000e+00 1.585714e+00 1.585714e+00 3.428571e-01 2.571429e-01 2.857143e-02
28625: 2.197183e+00 1.563380e+00 1.591549e+00 3.661972e-01 2.535211e-01 2.816901e-02
28625: 2.180556e+00 1.597222e+00 1.569444e+00 3.750000e-01 2.500000e-01 2.777778e-02
28625: 2.178082e+00 1.575342e+00 1.589041e+00 3.835616e-01 2.465753e-01 2.739726e-02
28625: 2.162162e+00 1.581081e+00 1.581081e+00 3.918919e-01 2.567568e-01 2.702703e-02
28625: 2.173333e+00 1.573333e+00 1.573333e+00 4.000000e-01 2.533333e-01 2.666667e-02
28625: 2.157895e+00 1.578947e+00 1.578947e+00 4.078947e-01 2.500000e-01 2.631579e-02
28625: 2.168831e+00 1.571429e+00 1.558442e+00 4.285714e-01 2.467532e-01 2.597403e-02
28625: 2.153846e+00 1.589744e+00 1.564103e+00 4.230769e-01 2.435897e-01 2.564103e-02
28625: 2.164557e+00 1.582278e+00 1.569620e+00 4.177215e-01 2.405063e-01 2.531646e-02
28625: 2.150000e+00 1.587500e+00 1.587500e+00 4.125000e-01 2.375000e-01 2.500000e-02
28625: 2.148148e+00 1.580247e+00 1.592593e+00 4.197531e-01 2.345679e-01 2.469136e-02
28625: 2.134146e+00 1.585366e+00 1.585366e+00 4.390244e-01 2.317073e-01 2.439024e-02
28625: 2.156627e+00 1.566265e+00 1.578313e+00 4.457831e-01 2.289157e-01 2.409639e-02
28625: 2.142857e+00 1.571429e+00 1.583333e+00 4.523810e-01 2.261905e-01 2.380952e-02
28625: 2.152941e+00 1.564706e+00 1.564706e+00 4.705882e-01 2.235294e-01 2.352941e-02
28625: 2.139535e+00 1.581395e+00 1.558140e+00 4.651163e-01 2.325581e-01 2.325581e-02
28625: 2.149425e+00 1.586207e+00 1.551724e+00 4.597701e-01 2.298851e-01 2.298851e-02
28625: 2.136364e+00 1.590909e+00 1.556818e+00 4.545455e-01 2.386364e-01 2.272727e-02
28625: 2.134831e+00 1.584270e+00 1.561798e+00 4.606742e-01 2.359551e-01 2.247191e-02
28625: 2.122222e+00 1.588889e+00 1.566667e+00 4.555556e-01 2.444444e-01 2.222222e-02
28625: 2.120879e+00 1.593407e+00 1.571429e+00 4.505495e-01 2.417582e-01 2.197802e-02
28625: 2.108696e+00 1.586957e+00 1.565217e+00 4.782609e-01 2.391304e-01 2.173913e-02
28625: 2.107527e+00 1.580645e+00 1.580645e+00 4.731183e-01 2.365591e-01 2.150538e-02
28625: 2.095745e+00 1.595745e+00 1.563830e+00 4.893617e-01 2.340426e-01 2.127660e-02
28625: 2.105263e+00 1.589474e+00 1.568421e+00 4.842105e-01 2.315789e-01 2.105263e-02
28625: 2.114583e+00 1.593750e+00 1.562500e+00 4.791667e-01 2.291667e-01 2.083333e-02
28625: 2.113402e+00 1.587629e+00 1.577320e+00 4.742268e-01 2.268041e-01 2.061856e-02
28625: 2.112245e+00 1.591837e+00 1.571429e+00 4.795918e-01 2.244898e-01 2.040816e-02
28625: 2.111111e+00 1.585859e+00 1.575758e+00 4.848485e-01 2.222222e-01 2.020202e-02
28625: 2.100000e+00 1.600000e+00 1.560000e+00 5.000000e-01 2.200000e-01 2.000000e-02
28625: 2.108911e+00 1.594059e+00 1.564356e+00 4.950495e-01 2.178218e-01 1.980198e-02
28625: 2.098039e+00 1.598039e+00 1.558824e+00 5.000000e-01 2.254902e-01 1.960784e-02
28625: 2.097087e+00 1.611650e+00 1.553398e+00 4.951456e-01 2.233010e-01 1.941748e-02
28625: 2.086538e+00 1.615385e+00 1.567308e+00 4.903846e-01 2.211538e-01 1.923077e-02
28625: 2.085714e+00 1.609524e+00 1.571429e+00 4.952381e-01 2.190476e-01 1.904762e-02
28625: 2.075472e+00 1.622642e+00 1.566038e+00 5.000000e-01 2.169811e-01 1.886792e-02
28625: 2.084112e+00 1.607477e+00 1.579439e+00 4.953271e-01 2.149533e-01 1.869159e-02
28625: 2.074074e+00 1.629630e+00 1.564815e+00 5.000000e-01 2.129630e-01 1.851852e-02
28625: 2.073394e+00 1.633028e+00 1.568807e+00 4.954128e-01 2.110092e-01 1.834862e-02
28625: 2.063636e+00 1.627273e+00 1.572727e+00 5.000000e-01 2.090909e-01 2.727273e-02
28625: 2.063063e+00 1.630631e+00 1.558559e+00 5.135135e-01 2.072072e-01 2.702703e-02
28625: 2.062500e+00 1.633929e+00 1.562500e+00 5.089286e-01 2.053571e-01 2.678571e-02
28625: 2.053097e+00 1.619469e+00 1.575221e+00 5.221239e-01 2.035398e-01 2.654867e-02
28625: 2.061404e+00 1.614035e+00 1.570175e+00 5.263158e-01 2.017544e-01 2.631579e-02
28625: 2.052174e+00 1.626087e+00 1.565217e+00 5.304348e-01 2.000000e-01 2.608696e-02
28625: 2.051724e+00 1.629310e+00 1.560345e+00 5.344828e-01 1.982759e-01 2.586207e-02
28625: 2.051282e+00 1.632479e+00 1.564103e+00 5.299145e-01 1.965812e-01 2.564103e-02
28625: 2.042373e+00 1.618644e+00 1.576271e+00 5.423729e-01 1.949153e-01 2.542373e-02
28625: 2.050420e+00 1.613445e+00 1.563025e+00 5.546218e-01 1.932773e-01 2.521008e-02
28625: 2.041667e+00 1.616667e+00 1.566667e+00 5.500000e-01 1.916667e-01 3.333333e-02
28625: 2.041322e+00 1.619835e+00 1.561983e+00 5.537190e-01 1.900826e-01 3.305785e-02
28625: 2.040984e+00 1.614754e+00 1.565574e+00 5.573770e-01 1.885246e-01 3.278689e-02
28625: 2.040650e+00 1.617886e+00 1.560976e+00 5.609756e-01 1.869919e-01 3.252033e-02
28625: 2.032258e+00 1.612903e+00 1.564516e+00 5.645161e-01 1.935484e-01 3.225806e-02
28625: 2.032000e+00 1.608000e+00 1.576000e+00 5.600000e-01 1.920000e-01 3.200000e-02
28625: 2.023810e+00 1.619048e+00 1.563492e+00 5.634921e-01 1.984127e-01 3.174603e-02
28625: 2.039370e+00 1.614173e+00 1.559055e+00 5.590551e-01 1.968504e-01 3.149606e-02
28625: 2.031250e+00 1.632812e+00 1.554688e+00 5.546875e-01 1.953125e-01 3.125000e-02
28625: 2.031008e+00 1.635659e+00 1.558140e+00 5.503876e-01 1.937984e-01 3.100775e-02
28625: 2.030769e+00 1.630769e+00 1.561538e+00 5.538462e-01 1.923077e-01 3.076923e-02
28625: 2.022901e+00 1.633588e+00 1.564885e+00 5.572519e-01 1.908397e-01 3.053435e-02
28625: 2.022727e+00 1.636364e+00 1.568182e+00 5.530303e-01 1.893939e-01 3.030303e-02
28625: 2.015038e+00 1.631579e+00 1.571429e+00 5.639098e-01 1.879699e-01 3.007519e-02
28625: 2.014925e+00 1.634328e+00 1.559701e+00 5.671642e-01 1.940299e-01 2.985075e-02
28625: 2.007407e+00 1.637037e+00 1.562963e+00 5.629630e-01 2.000000e-01 2.962963e-02
28625: 2.007353e+00 1.632353e+00 1.566176e+00 5.661765e-01 1.985294e-01 2.941176e-02
28625: 2.007299e+00 1.635036e+00 1.569343e+00 5.620438e-01 1.970803e-01 2.919708e-02
28625: 2.000000e+00 1.630435e+00 1.572464e+00 5.652174e-01 2.028986e-01 2.898551e-02
28625: 2.000000e+00 1.633094e+00 1.561151e+00 5.755396e-01 2.014388e-01 2.877698e-02
28625: 2.000000e+00 1.621429e+00 1.571429e+00 5.785714e-01 2.000000e-01 2.857143e-02
28625: 2.000000e+00 1.617021e+00 1.567376e+00 5.815603e-01 2.056738e-01 2.836879e-02
28625: 1.992958e+00 1.626761e+00 1.563380e+00 5.845070e-01 2.042254e-01 2.816901e-02
28625: 2.006993e+00 1.622378e+00 1.559441e+00 5.804196e-01 2.027972e-01 2.797203e-02
28625: 2.006944e+00 1.631944e+00 1.555556e+00 5.763889e-01 2.013889e-01 2.777778e-02
28625: 2.006897e+00 1.627586e+00 1.558621e+00 5.724138e-01 2.068966e-01 2.758621e-02
28625: 2.000000e+00 1.636986e+00 1.561644e+00 5.684932e-01 2.054795e-01 2.739726e-02
28625: 2.000000e+00 1.639456e+00 1.557823e+00 5.646259e-01 2.108844e-01 2.721088e-02
28625: 1.993243e+00 1.635135e+00 1.567568e+00 5.608108e-01 2.162162e-01 2.702703e-02
28625: 2.000000e+00 1.637584e+00 1.563758e+00 5.570470e-01 2.147651e-01 2.684564e-02
28625: 2.000000e+00 1.633333e+00 1.566667e+00 5.600000e-01 2.133333e-01 2.666667e-02
28625: 1.993377e+00 1.642384e+00 1.562914e+00 5.629139e-01 2.119205e-01 2.649007e-02
28625: 2.000000e+00 1.638158e+00 1.565789e+00 5.592105e-01 2.105263e-01 2.631579e-02
28625: 2.000000e+00 1.640523e+00 1.568627e+00 5.555556e-01 2.091503e-01 2.614379e-02
28625: 1.993506e+00 1.636364e+00 1.571429e+00 5.584416e-01 2.142857e-01 2.597403e-02
28625: 2.000000e+00 1.632258e+00 1.561290e+00 5.677419e-01 2.129032e-01 2.580645e-02
28625: 1.993590e+00 1.634615e+00 1.564103e+00 5.705128e-01 2.115385e-01 2.564103e-02
28625: 1.993631e+00 1.636943e+00 1.560510e+00 5.732484e-01 2.101911e-01 2.547771e-02
28625: 1.987342e+00 1.632911e+00 1.563291e+00 5.822785e-01 2.088608e-01 2.531646e-02
28625: 1.993711e+00 1.628931e+00 1.559748e+00 5.849057e-01 2.075472e-01 2.515723e-02
28625: 1.993750e+00 1.631250e+00 1.562500e+00 5.812500e-01 2.062500e-01 2.500000e-02
28625: 1.993789e+00 1.627329e+00 1.559006e+00 5.900621e-01 2.049689e-01 2.484472e-02
28625: 1.993827e+00 1.635802e+00 1.555556e+00 5.864198e-01 2.037037e-01 2.469136e-02
28625: 1.987730e+00 1.638037e+00 1.558282e+00 5.889571e-01 2.024540e-01 2.453988e-02
28625: 1.993902e+00 1.634146e+00 1.560976e+00 5.853659e-01 2.012195e-01 2.439024e-02
28625: 1.987879e+00 1.636364e+00 1.569697e+00 5.818182e-01 2.000000e-01 2.424242e-02
28625: 1.987952e+00 1.644578e+00 1.566265e+00 5.783133e-01 1.987952e-01 2.409639e-02
28625: 1.982036e+00 1.640719e+00 1.574850e+00 5.748503e-01 2.035928e-01 2.395210e-02
28625: 1.982143e+00 1.636905e+00 1.565476e+00 5.773810e-01 2.142857e-01 2.380952e-02
28625: 1.976331e+00 1.650888e+00 1.562130e+00 5.739645e-01 2.130178e-01 2.366864e-02
28625: 1.982353e+00 1.652941e+00 1.558824e+00 5.705882e-01 2.117647e-01 2.352941e-02
28625: 1.982456e+00 1.649123e+00 1.567251e+00 5.672515e-01 2.105263e-01 2.339181e-02
28625: 1.982558e+00 1.656977e+00 1.563953e+00 5.639535e-01 2.093023e-01 2.325581e-02
28625: 1.976879e+00 1.653179e+00 1.572254e+00 5.606936e-01 2.138728e-01 2.312139e-02
28625: 1.982759e+00 1.649425e+00 1.563218e+00 5.689655e-01 2.126437e-01 2.298851e-02
28625: 1.982857e+00 1.651429e+00 1.560000e+00 5.657143e-01 2.171429e-01 2.285714e-02
28625: 1.977273e+00 1.647727e+00 1.568182e+00 5.681818e-01 2.159091e-01 2.272727e-02
28625: 1.977401e+00 1.655367e+00 1.564972e+00 5.649718e-01 2.146893e-01 2.259887e-02
28625: 1.971910e+00 1.657303e+00 1.567416e+00 5.617978e-01 2.191011e-01 2.247191e-02
28625: 1.972067e+00 1.653631e+00 1.569832e+00 5.586592e-01 2.234637e-01 2.234637e-02
28625: 1.966667e+00 1.661111e+00 1.566667e+00 5.611111e-01 2.222222e-01 2.222222e-02
28625: 1.972376e+00 1.662983e+00 1.563536e+00 5.580110e-01 2.209945e-01 2.209945e-02
28625: 1.967033e+00 1.664835e+00 1.565934e+00 5.549451e-01 2.252747e-01 2.197802e-02
28625: 1.967213e+00 1.661202e+00 1.573770e+00 5.519126e-01 2.240437e-01 2.185792e-02
28625: 1.967391e+00 1.663043e+00 1.570652e+00 5.543478e-01 2.228261e-01 2.173913e-02
28625: 1.962162e+00 1.664865e+00 1.567568e+00 5.567568e-01 2.270270e-01 2.162162e-02
28625: 1.967742e+00 1.661290e+00 1.564516e+00 5.537634e-01 2.311828e-01 2.150538e-02
28625: 1.962567e+00 1.657754e+00 1.572193e+00 5.561497e-01 2.299465e-01 2.139037e-02
28625: 1.968085e+00 1.654255e+00 1.563830e+00 5.585106e-01 2.340426e-01 2.127660e-02
28625: 1.962963e+00 1.661376e+00 1.566138e+00 5.555556e-01 2.328042e-01 2.116402e-02
28625: 1.963158e+00 1.657895e+00 1.568421e+00 5.526316e-01 2.368421e-01 2.105263e-02
28625: 1.958115e+00 1.659686e+00 1.575916e+00 5.497382e-01 2.356021e-01 2.094241e-02
28625: 1.958333e+00 1.661458e+00 1.572917e+00 5.520833e-01 2.343750e-01 2.083333e-02
28625: 1.953368e+00 1.663212e+00 1.569948e+00 5.595855e-01 2.331606e-01 2.072539e-02
28625: 1.958763e+00 1.664948e+00 1.567010e+00 5.567010e-01 2.319588e-01 2.061856e-02
28625: 1.958974e+00 1.661538e+00 1.574359e+00 5.538462e-01 2.307692e-01 2.051282e-02
28625: 1.959184e+00 1.668367e+00 1.566327e+00 5.561224e-01 2.295918e-01 2.040816e-02
28625: 1.959391e+00 1.664975e+00 1.573604e+00 5.532995e-01 2.284264e-01 2.030457e-02
28625: 1.959596e+00 1.671717e+00 1.565657e+00 5.555556e-01 2.272727e-01 2.020202e-02
28625: 1.954774e+00 1.663317e+00 1.572864e+00 5.628141e-01 2.261307e-01 2.010050e-02
28625: 1.960000e+00 1.660000e+00 1.570000e+00 5.650000e-01 2.250000e-01 2.000000e-02
28625: 1.955224e+00 1.661692e+00 1.567164e+00 5.721393e-01 2.238806e-01 1.990050e-02
28625: 1.960396e+00 1.658416e+00 1.569307e+00 5.693069e-01 2.227723e-01 1.980198e-02
28625: 1.955665e+00 1.660099e+00 1.571429e+00 5.714286e-01 2.216749e-01 1.970443e-02
28625: 1.960784e+00 1.656863e+00 1.563725e+00 5.784314e-01 2.205882e-01 1.960784e-02
28625: 1.960976e+00 1.658537e+00 1.565854e+00 5.756098e-01 2.195122e-01 1.951220e-02
28625: 1.961165e+00 1.650485e+00 1.572816e+00 5.776699e-01 2.184466e-01 1.941748e-02
28625: 1.956522e+00 1.657005e+00 1.570048e+00 5.797101e-01 2.173913e-01 1.932367e-02
28625: 1.961538e+00 1.649038e+00 1.567308e+00 5.865385e-01 2.163462e-01 1.923077e-02
28625: 1.961722e+00 1.655502e+00 1.564593e+00 5.837321e-01 2.153110e-01 1.913876e-02
28625: 1.957143e+00 1.657143e+00 1.566667e+00 5.857143e-01 2.142857e-01 1.904762e-02
28625: 1.957346e+00 1.658768e+00 1.568720e+00 5.829384e-01 2.132701e-01 1.895735e-02
28625: 1.957547e+00 1.655660e+00 1.570755e+00 5.849057e-01 2.122642e-01 1.886792e-02
28625: 1.953052e+00 1.661972e+00 1.568075e+00 5.868545e-01 2.112676e-01 1.877934e-02
28625: 1.957944e+00 1.658879e+00 1.565421e+00 5.887850e-01 2.102804e-01 1.869159e-02
28625: 1.958140e+00 1.660465e+00 1.562791e+00 5.906977e-01 2.093023e-01 1.860465e-02
28625: 1.958333e+00 1.657407e+00 1.564815e+00 5.879630e-01 2.129630e-01 1.851852e-02
28625: 1.953917e+00 1.663594e+00 1.566820e+00 5.852535e-01 2.119816e-01 1.843318e-02
28625: 1.954128e+00 1.655963e+00 1.573394e+00 5.825688e-01 2.155963e-01 1.834862e-02
28625: 1.954338e+00 1.662100e+00 1.566210e+00 5.844749e-01 2.146119e-01 1.826484e-02
28625: 1.959091e+00 1.659091e+00 1.568182e+00 5.818182e-01 2.136364e-01 1.818182e-02
28625: 1.959276e+00 1.660633e+00 1.565611e+00 5.791855e-01 2.171946e-01 1.809955e-02
28625: 1.954955e+00 1.657658e+00 1.576577e+00 5.765766e-01 2.162162e-01 1.801802e-02
28625: 1.959641e+00 1.659193e+00 1.569507e+00 5.784753e-01 2.152466e-01 1.793722e-02
28625: 1.959821e+00 1.656250e+00 1.575893e+00 5.758929e-01 2.142857e-01 1.785714e-02
28625: 1.955556e+00 1.666667e+00 1.568889e+00 5.777778e-01 2.133333e-01 1.777778e-02
28625: 1.955752e+00 1.668142e+00 1.570796e+00 5.752212e-01 2.123894e-01 1.769912e-02
28625: 1.951542e+00 1.669604e+00 1.568282e+00 5.814978e-01 2.114537e-01 1.762115e-02
28625: 1.956140e+00 1.671053e+00 1.565789e+00 5.789474e-01 2.105263e-01 1.754386e-02
28625: 1.956332e+00 1.668122e+00 1.572052e+00 5.764192e-01 2.096070e-01 1.746725e-02
28625: 1.952174e+00 1.669565e+00 1.565217e+00 5.826087e-01 2.130435e-01 1.739130e-02
28625: 1.952381e+00 1.662338e+00 1.571429e+00 5.844156e-01 2.121212e-01 1.731602e-02
28625: 1.948276e+00 1.668103e+00 1.568966e+00 5.862069e-01 2.112069e-01 1.724138e-02
28625: 1.952790e+00 1.665236e+00 1.570815e+00 5.836910e-01 2.103004e-01 1.716738e-02
28625: 1.948718e+00 1.666667e+00 1.564103e+00 5.940171e-01 2.094017e-01 1.709402e-02
28625: 1.953191e+00 1.668085e+00 1.561702e+00 5.914894e-01 2.085106e-01 1.702128e-02
28625: 1.949153e+00 1.669492e+00 1.567797e+00 5.889831e-01 2.076271e-01 1.694915e-02
28625: 1.953586e+00 1.666667e+00 1.569620e+00 5.864979e-01 2.067511e-01 1.687764e-02
28625: 1.953782e+00 1.672269e+00 1.567227e+00 5.840336e-01 2.058824e-01 1.680672e-02
28625: 1.953975e+00 1.669456e+00 1.569038e+00 5.815900e-01 2.092050e-01 1.673640e-02
28625: 1.954167e+00 1.675000e+00 1.566667e+00 5.791667e-01 2.083333e-01 1.666667e-02
28625: 1.950207e+00 1.676349e+00 1.572614e+00 5.767635e-01 2.074689e-01 1.659751e-02
28625: 1.950413e+00 1.673554e+00 1.574380e+00 5.785124e-01 2.066116e-01 1.652893e-02
28625: 1.950617e+00 1.679012e+00 1.567901e+00 5.802469e-01 2.057613e-01 1.646091e-02
28625: 1.946721e+00 1.676230e+00 1.573770e+00 5.819672e-01 2.049180e-01 1.639344e-02
28625: 1.946939e+00 1.677551e+00 1.571429e+00 5.836735e-01 2.040816e-01 1.632653e-02
28625: 1.943089e+00 1.678862e+00 1.573171e+00 5.853659e-01 2.032520e-01 1.626016e-02
28625: 1.939271e+00 1.676113e+00 1.570850e+00 5.910931e-01 2.064777e-01 1.619433e-02
28625: 1.943548e+00 1.673387e+00 1.568548e+00 5.927419e-01 2.056452e-01 1.612903e-02
28625: 1.939759e+00 1.678715e+00 1.566265e+00 5.943775e-01 2.048193e-01 1.606426e-02
28625: 1.944000e+00 1.680000e+00 1.564000e+00 5.920000e-01 2.040000e-01 1.600000e-02
28625: 1.940239e+00 1.681275e+00 1.569721e+00 5.896414e-01 2.031873e-01 1.593625e-02
28625: 1.940476e+00 1.682540e+00 1.567460e+00 5.873016e-01 2.063492e-01 1.587302e-02
28625: 1.940711e+00 1.675889e+00 1.573123e+00 5.849802e-01 2.094862e-01 1.581028e-02
